Step = 365; E = -380.4547194; F_norm = 10.89370878
Step = 366; E = -380.4588655; F_norm = 10.8912539
Step = 367; E = -380.4630101; F_norm = 10.88880383
Step = 368; E = -380.4671531; F_norm = 10.88635856
Step = 369; E = -380.4712945; F_norm = 10.8839181
Step = 370; E = -380.4754345; F_norm = 10.88148246
Step = 371; E = -380.4795728; F_norm = 10.87905163
Step = 372; E = -380.4837097; F_norm = 10.87662561
Step = 373; E = -380.487845; F_norm = 10.87420442
Step = 374; E = -380.4919788; F_norm = 10.87178804
Step = 375; E = -380.496111; F_norm = 10.86937649
Step = 376; E = -380.5002417; F_norm = 10.86696977
Step = 377; E = -380.5043709; F_norm = 10.86456787
Step = 378; E = -380.5084986; F_norm = 10.8621708
Step = 379; E = -380.5126247; F_norm = 10.85977857
Step = 380; E = -380.5167493; F_norm = 10.85739117
Step = 381; E = -380.5208724; F_norm = 10.8550086
Step = 382; E = -380.5249939; F_norm = 10.85263088
Step = 383; E = -380.5291139; F_norm = 10.850258
Step = 384; E = -380.5332324; F_norm = 10.84788996
Step = 385; E = -380.5373494; F_norm = 10.84552677
Step = 386; E = -380.5414649; F_norm = 10.84316843
Step = 387; E = -380.5455788; F_norm = 10.84081494
Step = 388; E = -380.5496913; F_norm = 10.8384663
Step = 389; E = -380.5538022; F_norm = 10.83612252
Step = 390; E = -380.5579116; F_norm = 10.8337836
Step = 391; E = -380.5620195; F_norm = 10.83144954
Step = 392; E = -380.5661258; F_norm = 10.82912034
Step = 393; E = -380.5702307; F_norm = 10.82679601
Step = 394; E = -380.5743341; F_norm = 10.82447654
Step = 395; E = -380.5784359; F_norm = 10.82216194
Step = 396; E = -380.5825363; F_norm = 10.81985222
Step = 397; E = -380.5866352; F_norm = 10.81754737
Step = 398; E = -380.5907325; F_norm = 10.8152474
Step = 399; E = -380.5948283; F_norm = 10.81295231
Step = 400; E = -380.5989227; F_norm = 10.8106621
Step = 401; E = -380.6030156; F_norm = 10.80837678
Step = 402; E = -380.6071069; F_norm = 10.80609634
Step = 403; E = -380.6111968; F_norm = 10.80382079
Step = 404; E = -380.6152851; F_norm = 10.80155014
Step = 405; E = -380.619372; F_norm = 10.79928438
Step = 406; E = -380.6234574; F_norm = 10.79702351
Step = 407; E = -380.6275413; F_norm = 10.79476755
Step = 408; E = -380.6316237; F_norm = 10.79251649
Step = 409; E = -380.6357046; F_norm = 10.79027033
Step = 410; E = -380.639784; F_norm = 10.78802908
Step = 411; E = -380.643862; F_norm = 10.78579274
Step = 412; E = -380.6479385; F_norm = 10.78356131
Step = 413; E = -380.6520134; F_norm = 10.78133479
Step = 414; E = -380.6560869; F_norm = 10.77911319
Step = 415; E = -380.660159; F_norm = 10.77689651
Step = 416; E = -380.6642295; F_norm = 10.77468475
Step = 417; E = -380.6682986; F_norm = 10.77247792
Step = 418; E = -380.6723662; F_norm = 10.77027602
Step = 419; E = -380.6764323; F_norm = 10.76807904
Step = 420; E = -380.680497; F_norm = 10.765887
Step = 421; E = -380.6845602; F_norm = 10.76369989
Step = 422; E = -380.6886219; F_norm = 10.76151771
Step = 423; E = -380.6926821; F_norm = 10.75934048
Step = 424; E = -380.6967409; F_norm = 10.75716819
Step = 425; E = -380.7007982; F_norm = 10.75500085
Step = 426; E = -380.7048541; F_norm = 10.75283845
Step = 427; E = -380.7089085; F_norm = 10.750681
Step = 428; E = -380.7129614; F_norm = 10.74852851
Step = 429; E = -380.7170129; F_norm = 10.74638097
Step = 430; E = -380.7210629; F_norm = 10.74423839
Step = 431; E = -380.7251114; F_norm = 10.74210076
Step = 432; E = -380.7291585; F_norm = 10.73996811
Step = 433; E = -380.7332042; F_norm = 10.73784041
Step = 434; E = -380.7372484; F_norm = 10.73571769
Step = 435; E = -380.7412911; F_norm = 10.73359994
Step = 436; E = -380.7453324; F_norm = 10.73148716
Step = 437; E = -380.7493722; F_norm = 10.72937936
Step = 438; E = -380.7534106; F_norm = 10.72727653
Step = 439; E = -380.7574476; F_norm = 10.72517869
Step = 440; E = -380.7614831; F_norm = 10.72308583
Step = 441; E = -380.7655171; F_norm = 10.72099796
Step = 442; E = -380.7695498; F_norm = 10.71891508
Step = 443; E = -380.7735809; F_norm = 10.71683719
Step = 444; E = -380.7776107; F_norm = 10.7147643
Step = 445; E = -380.781639; F_norm = 10.71269641
Step = 446; E = -380.7856658; F_norm = 10.71063351
Step = 447; E = -380.7896913; F_norm = 10.70857562
Step = 448; E = -380.7937153; F_norm = 10.70652273
Step = 449; E = -380.7977378; F_norm = 10.70447486
Step = 450; E = -380.801759; F_norm = 10.70243199
Step = 451; E = -380.8057787; F_norm = 10.70039414
Step = 452; E = -380.8097969; F_norm = 10.69836131
Step = 453; E = -380.8138138; F_norm = 10.69633349
Step = 454; E = -380.8178292; F_norm = 10.6943107
Step = 455; E = -380.8218432; F_norm = 10.69229293
Step = 456; E = -380.8258558; F_norm = 10.69028019
Step = 457; E = -380.8298669; F_norm = 10.68827248
Step = 458; E = -380.8338767; F_norm = 10.68626981
Step = 459; E = -380.837885; F_norm = 10.68427217
Step = 460; E = -380.8418919; F_norm = 10.68227957
Step = 461; E = -380.8458973; F_norm = 10.68029201
Step = 462; E = -380.8499014; F_norm = 10.6783095
Step = 463; E = -380.8539041; F_norm = 10.67633203
Step = 464; E = -380.8579053; F_norm = 10.67435961
Step = 465; E = -380.8619051; F_norm = 10.67239225
Step = 466; E = -380.8659035; F_norm = 10.67042994
Step = 467; E = -380.8699005; F_norm = 10.6684727
Step = 468; E = -380.8738962; F_norm = 10.66652051
Step = 469; E = -380.8778903; F_norm = 10.66457339
Step = 470; E = -380.8818831; F_norm = 10.66263133
Step = 471; E = -380.8858745; F_norm = 10.66069435
Step = 472; E = -380.8898645; F_norm = 10.65876243
Step = 473; E = -380.8938531; F_norm = 10.6568356
Step = 474; E = -380.8978403; F_norm = 10.65491384
