Step = 254; E = -1192.105061; F_norm = 5.783466621
Step = 255; E = -1192.115723; F_norm = 5.773803681
Step = 256; E = -1192.126368; F_norm = 5.764157264
Step = 257; E = -1192.136995; F_norm = 5.754527341
Step = 258; E = -1192.147603; F_norm = 5.744913883
Step = 259; E = -1192.158194; F_norm = 5.73531686
Step = 260; E = -1192.168766; F_norm = 5.725736243
Step = 261; E = -1192.179321; F_norm = 5.716172002
Step = 262; E = -1192.189858; F_norm = 5.706624109
Step = 263; E = -1192.200376; F_norm = 5.697092534
Step = 264; E = -1192.210878; F_norm = 5.687577248
Step = 265; E = -1192.221361; F_norm = 5.678078221
Step = 266; E = -1192.231826; F_norm = 5.668595426
Step = 267; E = -1192.242274; F_norm = 5.659128832
Step = 268; E = -1192.252704; F_norm = 5.649678412
Step = 269; E = -1192.263116; F_norm = 5.640244136
Step = 270; E = -1192.273511; F_norm = 5.630825975
Step = 271; E = -1192.283888; F_norm = 5.621423901
Step = 272; E = -1192.294247; F_norm = 5.612037884
Step = 273; E = -1192.304589; F_norm = 5.602667897
Step = 274; E = -1192.314913; F_norm = 5.593313911
Step = 275; E = -1192.32522; F_norm = 5.583975897
Step = 276; E = -1192.33551; F_norm = 5.574653827
Step = 277; E = -1192.345782; F_norm = 5.565347672
Step = 278; E = -1192.356036; F_norm = 5.556057404
Step = 279; E = -1192.366273; F_norm = 5.546782995
Step = 280; E = -1192.376493; F_norm = 5.537524417
Step = 281; E = -1192.386696; F_norm = 5.528281641
Step = 282; E = -1192.396881; F_norm = 5.519054638
Step = 283; E = -1192.407049; F_norm = 5.509843382
Step = 284; E = -1192.417199; F_norm = 5.500647844
Step = 285; E = -1192.427333; F_norm = 5.491467996
Step = 286; E = -1192.437449; F_norm = 5.482303811
Step = 287; E = -1192.447549; F_norm = 5.473155259
Step = 288; E = -1192.457631; F_norm = 5.464022314
Step = 289; E = -1192.467696; F_norm = 5.454904948
Step = 290; E = -1192.477744; F_norm = 5.445803132
Step = 291; E = -1192.487775; F_norm = 5.43671684
Step = 292; E = -1192.497789; F_norm = 5.427646044
Step = 293; E = -1192.507786; F_norm = 5.418590716
Step = 294; E = -1192.517766; F_norm = 5.409550829
Step = 295; E = -1192.527729; F_norm = 5.400526355
Step = 296; E = -1192.537676; F_norm = 5.391517266
Step = 297; E = -1192.547605; F_norm = 5.382523537
Step = 298; E = -1192.557518; F_norm = 5.373545138
Step = 299; E = -1192.567414; F_norm = 5.364582044
Step = 300; E = -1192.577293; F_norm = 5.355634226
Step = 301; E = -1192.587156; F_norm = 5.346701658
Step = 302; E = -1192.597002; F_norm = 5.337784313
Step = 303; E = -1192.606831; F_norm = 5.328882163
Step = 304; E = -1192.616643; F_norm = 5.319995182
Step = 305; E = -1192.626439; F_norm = 5.311123343
Step = 306; E = -1192.636219; F_norm = 5.302266618
Step = 307; E = -1192.645981; F_norm = 5.293424981
Step = 308; E = -1192.655728; F_norm = 5.284598406
Step = 309; E = -1192.665457; F_norm = 5.275786865
Step = 310; E = -1192.675171; F_norm = 5.266990332
Step = 311; E = -1192.684868; F_norm = 5.25820878
Step = 312; E = -1192.694548; F_norm = 5.249442183
Step = 313; E = -1192.704212; F_norm = 5.240690514
Step = 314; E = -1192.71386; F_norm = 5.231953747
Step = 315; E = -1192.723492; F_norm = 5.223231855
Step = 316; E = -1192.733107; F_norm = 5.214524812
Step = 317; E = -1192.742706; F_norm = 5.205832592
Step = 318; E = -1192.752289; F_norm = 5.197155167
Step = 319; E = -1192.761855; F_norm = 5.188492513
Step = 320; E = -1192.771406; F_norm = 5.179844603
Step = 321; E = -1192.78094; F_norm = 5.171211411
Step = 322; E = -1192.790458; F_norm = 5.162592911
Step = 323; E = -1192.79996; F_norm = 5.153989076
Step = 324; E = -1192.809446; F_norm = 5.145399881
Step = 325; E = -1192.818916; F_norm = 5.1368253
Step = 326; E = -1192.82837; F_norm = 5.128265307
